UTILITYID,UTILNAME,STATE_CODE,YEAR,MONTH," RESIDENTIAL REVENUES ($1,000) ", RESIDENTIAL SALES (MWh) , RESIDENTIAL CUSTOMERS ," COMMERCIAL REVENUES ($1,000) ", COMMERCIAL SALES (MWh) , COMMERCIAL CUSTOMERS ," INDUSTRIAL REVENUES ($1,000) ", INDUSTRIAL SALES (MWh) , INDUSTRIAL CUSTOMERS ," TRANSPORTATION REVENUES ($1,000) ", TRANSPORTATION SALES (MWh) , TRANSPORTATION CUSTOMERS ," TOTAL REVENUES ($1,000) ", TOTAL SALES (MWh) , TOTAL CUSTOMERS 
9617,JEA,FL,2012,1," 51,100.63 "," 406,621.21 "," 370,435 "," 40,591.70 "," 307,034.36 "," 50,258 "," 13,261.35 "," 218,868.88 ", 215 , 28.28 , 272.65 , 1 ," 104,981.95 "," 932,797.10 "," 420,909 "
18454,Tampa Electric Co,FL,2012,1," 71,663.72 "," 627,349.39 "," 599,240 "," 63,396.04 "," 617,811.92 "," 78,529 "," 14,263.47 "," 162,186.62 "," 1,516 ", -   , -   , -   ," 149,323.23 "," 1,407,347.94 "," 679,285 "
88888,Total EPM,FL,2012,1," 974,663.00 "," 8,438,159.00 "," 8,462,388 "," 678,805.00 "," 6,833,795.00 "," 1,138,855 "," 104,531.00 "," 1,287,723.00 "," 17,225 ", 578.00 ," 6,728.00 ", 2 ," 1,758,577.00 "," 16,566,405.00 "," 9,618,470 "
0,Adjustment 2012,GA,2012,1," 211,545.62 "," 2,014,979.35 "," 1,631,060 "," 83,432.62 "," 785,473.65 "," 197,530 "," 40,375.46 "," 595,015.00 "," 8,837 ", (0.00), 0.04 , -   ," 335,353.69 "," 3,395,468.04 "," 1,837,427 "
3408,City of Chattanooga - (TN),GA,2012,1," 1,534.00 "," 15,477.00 "," 9,513 ", 452.00 ," 4,153.00 "," 1,167 ", 34.00 , 310.00 , 1 , -   , -   , -   ," 2,020.00 "," 19,940.00 "," 10,681 "
3916,Cobb Electric Membership Corp,GA,2012,1," 19,938.00 "," 182,338.00 "," 175,761 "," 9,185.00 "," 87,887.00 "," 21,075 "," 1,323.00 "," 19,144.00 ", 80 , -   , -   , -   ," 30,446.00 "," 289,369.00 "," 196,916 "
7140,Georgia Power Co,GA,2012,1," 235,848.68 "," 2,330,282.71 "," 2,049,385 "," 235,874.80 "," 2,584,303.75 "," 303,652 "," 97,478.04 "," 1,818,553.44 "," 8,270 ", 958.87 ," 13,654.70 ", 1 ," 570,160.39 "," 6,746,794.60 "," 2,361,308 "
9601,Jackson Electric Member Corp - (GA),GA,2012,1," 23,387.00 "," 267,393.00 "," 186,181 "," 11,428.00 "," 115,948.00 "," 20,144 "," 3,161.00 "," 48,564.00 ", 116 , -   , -   , -   ," 37,976.00 "," 431,905.00 "," 206,441 "
88888,Total EPM,GA,2012,1," 492,253.00 "," 4,810,470.00 "," 4,051,900 "," 340,372.00 "," 3,577,765.00 "," 543,568 "," 142,371.00 "," 2,481,586.00 "," 17,304 ", 959.00 ," 13,655.00 ", 1 ," 975,956.00 "," 10,883,477.00 "," 4,612,773 "
0,Adjustment 2012,HI,2012,1, (0.04), (0.11), 16 , 0.07 , 0.03 , (34), (0.04), (0.01), 1 , -   , -   , -   , (0.00), (0.09), (17)
8287,Hawaii Electric Light Co Inc,HI,2012,1," 17,027.00 "," 39,044.00 "," 68,515 "," 14,737.00 "," 34,261.00 "," 12,665 "," 7,493.00 "," 20,195.00 ", 74 , -   , -   , -   ," 39,257.00 "," 93,500.00 "," 81,254 "
10071,Kauai Island Utility Cooperative,HI,2012,1," 6,197.84 "," 14,441.19 "," 28,112 "," 4,097.66 "," 9,526.89 "," 4,522 "," 5,278.51 "," 13,917.39 ", 134 , -   , -   , -   ," 15,574.01 "," 37,885.47 "," 32,768 "
11843,Maui Electric Co Ltd,HI,2012,1," 14,341.97 "," 36,946.07 "," 58,347 "," 11,904.74 "," 29,992.23 "," 9,782 "," 11,214.09 "," 31,247.50 ", 135 , -   , -   , -   ," 37,460.81 "," 98,185.79 "," 68,264 "
19547,Hawaiian Electric Co Inc,HI,2012,1," 53,436.88 "," 160,646.50 "," 264,060 "," 58,549.79 "," 188,698.52 "," 33,347 "," 65,153.42 "," 235,121.17 ", 367 , -   , -   , -   ," 177,140.09 "," 584,466.18 "," 297,774 "
88888,Total EPM,HI,2012,1," 91,004.00 "," 251,078.00 "," 419,050 "," 89,289.00 "," 262,479.00 "," 60,282 "," 89,139.00 "," 300,481.00 ", 711 , -   , -   , -   ," 269,432.00 "," 814,037.00 "," 480,043 "
0,Adjustment 2012,IA,2012,1," 51,761.61 "," 493,362.50 "," 368,688 "," 23,889.05 "," 281,674.83 "," 56,831 "," 18,827.44 "," 293,871.79 "," 3,060 ", -   , -   , -   ," 94,478.11 "," 1,068,909.13 "," 428,579 "
471,Amana Society Service Co,IA,2012,1, 75.00 , 617.00 , 703 , 76.00 , 696.00 , 180 , 445.00 ," 5,467.00 ", 1 , -   , -   , -   , 596.00 ," 6,780.00 ", 884 
9417,Interstate Power and Light Co,IA,2012,1," 42,528.00 "," 378,918.00 "," 407,714 "," 24,682.00 "," 314,378.00 "," 73,838 "," 29,250.00 "," 577,371.00 "," 2,662 ", -   , -   , -   ," 96,460.00 "," 1,270,667.00 "," 484,214 "
12341,MidAmerican Energy Co,IA,2012,1," 39,429.52 "," 500,244.80 "," 552,132 "," 23,464.77 "," 401,884.94 "," 89,067 "," 26,257.64 "," 678,390.62 "," 1,419 ", -   , -   , -   ," 89,151.93 "," 1,580,520.36 "," 642,618 "
88888,Total EPM,IA,2012,1," 133,794.00 "," 1,373,142.00 "," 1,329,237 "," 72,112.00 "," 998,634.00 "," 219,916 "," 74,780.00 "," 1,555,100.00 "," 7,142 ", -   , -   , -   ," 280,686.00 "," 3,926,876.00 "," 1,556,295 "
0,Adjustment 2012,ID,2012,1," 8,887.12 "," 90,987.38 "," 60,294 "," 2,337.66 "," 33,965.86 "," 7,962 "," 1,610.07 "," 44,404.71 "," 1,992 ", -   , -   , -   ," 12,834.85 "," 169,357.95 "," 70,248 "
9187,City of Idaho Falls - (ID),ID,2012,1," 2,500.00 "," 38,407.00 "," 22,399 "," 1,538.00 "," 20,020.00 "," 3,687 ", 367.00 ," 7,716.00 ", 7 , -   , -   , -   ," 4,405.00 "," 66,143.00 "," 26,093 "
9191,Idaho Power Co,ID,2012,1," 39,850.26 "," 517,338.01 "," 398,423 "," 17,630.84 "," 316,346.77 "," 61,907 "," 10,791.57 "," 257,271.06 "," 17,165 ", -   , -   , -   ," 68,272.67 "," 1,090,955.83 "," 477,495 "
10454,Kootenai Electric Cooperative,ID,2012,1," 2,703.50 "," 33,766.55 "," 20,455 ", 710.23 ," 8,845.41 "," 1,677 ", 87.07 ," 2,122.27 ", 45 , -   , -   , -   ," 3,500.79 "," 44,734.23 "," 22,177 "
11273,Lower Valley Energy Inc,ID,2012,1, 96.00 ," 1,732.00 "," 1,262 ", 13.00 , 232.00 , 316 , 178.00 ," 4,654.00 ", 40 , -   , -   , -   , 287.00 ," 6,618.00 "," 1,618 "
12692,"Missoula Electric Coop, Inc",ID,2012,1, 5.38 , 55.27 , 36 , 6.78 , 81.47 , 20 , -   , -   , -   , -   , -   , -   , 12.16 , 136.74 , 56 
14354,PacifiCorp,ID,2012,1," 7,324.23 "," 81,123.18 "," 57,649 "," 3,694.77 "," 46,384.39 "," 8,750 "," 8,222.09 "," 156,755.26 "," 5,514 ", -   , -   , -   ," 19,241.08 "," 284,262.83 "," 71,913 "
16565,Salmon River Electric Coop Inc,ID,2012,1, 270.00 ," 3,719.00 "," 2,130 ", 127.00 ," 2,069.00 ", 424 , 589.00 ," 19,597.00 ", 2 , -   , -   , -   , 986.00 ," 25,385.00 "," 2,556 "
20169,Avista Corp,ID,2012,1," 11,934.68 "," 134,807.27 "," 106,498 "," 7,671.64 "," 88,649.35 "," 16,859 "," 5,522.96 "," 102,116.17 ", 473 , -   , -   , -   ," 25,129.28 "," 325,572.79 "," 123,830 "
22814,Raft Rural Elec Coop Inc,ID,2012,1, 183.00 ," 2,630.00 "," 1,268 ", 164.00 ," 3,451.00 ", 312 , 2.00 , 17.00 , 885 , -   , -   , -   , 349.00 ," 6,098.00 "," 2,465 "
88888,Total EPM,ID,2012,1," 73,754.00 "," 904,566.00 "," 670,414 "," 33,894.00 "," 520,045.00 "," 101,914 "," 27,370.00 "," 594,653.00 "," 26,123 ", -   , -   , -   ," 135,018.00 "," 2,019,264.00 "," 798,451 "
0,Adjustment 2012,IL,2012,1," 88,036.91 "," 800,406.60 "," 858,648 "," 231,488.05 "," 3,023,987.59 "," 202,260 "," 215,533.06 "," 3,498,376.44 "," 5,285 "," 3,183.08 "," 44,567.60 ", 2 ," 538,241.09 "," 7,367,338.23 "," 1,066,195 "
4110,Commonwealth Edison Co,IL,2012,1," 271,109.57 "," 2,206,818.11 "," 3,129,836 "," 85,612.65 "," 915,277.15 "," 263,576 "," 3,785.59 "," 60,510.61 ", 130 , -   , -   , -   ," 360,507.80 "," 3,182,605.87 "," 3,393,542 "
12341,MidAmerican Energy Co,IL,2012,1," 4,115.42 "," 57,307.67 "," 75,718 "," 2,583.31 "," 45,701.08 "," 9,175 "," 1,830.62 "," 46,840.74 ", 104 , -   , -   , -   ," 8,529.35 "," 149,849.49 "," 84,997 "
13032,Mt Carmel Public Utility Co,IL,2012,1, 604.00 ," 4,721.00 "," 4,501 ", 176.00 ," 1,324.00 ", 847 , 309.00 ," 2,839.00 ", 99 , -   , -   , -   ," 1,089.00 "," 8,884.00 "," 5,447 "
56697,Ameren Illinois Company,IL,2012,1," 101,716.00 "," 1,082,912.00 "," 1,023,410 "," 27,419.00 "," 321,443.00 "," 111,041 "," 4,819.00 "," 134,379.00 ", 436 , 115.00 ," 1,914.00 ", 1 ," 134,069.00 "," 1,540,648.00 "," 1,134,888 "
88888,Total EPM,IL,2012,1," 465,582.00 "," 4,152,165.00 "," 5,092,113 "," 347,279.00 "," 4,307,733.00 "," 586,899 "," 226,277.00 "," 3,742,946.00 "," 6,054 "," 3,298.00 "," 46,482.00 ", 3 ," 1,042,436.00 "," 12,249,326.00 "," 5,685,069 "
0,Adjustment 2012,IN,2012,1," 95,936.07 "," 871,245.40 "," 725,633 "," 31,312.78 "," 331,548.67 "," 68,123 "," 42,549.15 "," 634,909.78 "," 4,418 ", (0.00), -   , -   ," 169,798.00 "," 1,837,703.85 "," 798,174 "
261,AGC Division of APG Inc,IN,2012,1, -   , -   , -   , -   , -   , -   ," 14,722.64 "," 393,683.00 ", 1 , -   , -   , -   ," 14,722.64 "," 393,683.00 ", 1 
9273,Indianapolis Power & Light Co,IN,2012,1," 45,604.17 "," 546,702.11 "," 418,312 "," 17,796.03 "," 187,130.40 "," 47,893 "," 39,267.51 "," 552,816.09 "," 4,689 ", -   , -   , -   ," 102,667.70 "," 1,286,648.61 "," 470,894 "
9324,Indiana Michigan Power Co,IN,2012,1," 42,809.60 "," 511,837.56 "," 398,367 "," 24,977.42 "," 354,780.05 "," 53,489 "," 29,392.71 "," 544,337.74 "," 4,119 ", -   , -   , -   ," 97,179.73 "," 1,410,955.35 "," 455,975 "
13756,Northern Indiana Pub Serv Co,IN,2012,1," 36,410.24 "," 309,043.00 "," 400,419 "," 35,057.78 "," 320,303.00 "," 54,784 "," 52,598.97 "," 818,958.00 "," 2,449 ", 198.59 ," 2,107.00 ", 1 ," 124,265.58 "," 1,450,411.00 "," 457,653 "
15470,Duke Energy Indiana Inc,IN,2012,1," 90,352.55 "," 927,889.82 "," 686,272 "," 60,066.56 "," 705,210.40 "," 101,498 "," 61,786.89 "," 891,530.66 "," 2,743 ", -   , -   , -   ," 212,206.00 "," 2,524,630.87 "," 790,513 "
17633,Southern Indiana Gas & Elec Co,IN,2012,1," 19,547.38 "," 140,036.77 "," 127,802 "," 12,894.89 "," 102,319.50 "," 18,336 "," 17,373.63 "," 219,505.20 ", 115 , -   , -   , -   ," 49,815.90 "," 461,861.47 "," 146,253 "
88888,Total EPM,IN,2012,1," 330,660.00 "," 3,306,755.00 "," 2,756,805 "," 182,105.00 "," 2,001,292.00 "," 344,123 "," 257,692.00 "," 4,055,740.00 "," 18,534 ", 199.00 ," 2,107.00 ", 1 ," 770,656.00 "," 9,365,894.00 "," 3,119,463 "
0,Adjustment 2012,KS,2012,1," 34,593.47 "," 285,097.37 "," 300,602 "," 25,249.17 "," 222,849.08 "," 89,692 "," 20,579.64 "," 264,065.36 "," 12,372 ", -   , -   , -   ," 80,422.27 "," 772,011.81 "," 402,666 "
3892,City of Coffeyville - (KS),KS,2012,1, 432.20 ," 4,627.96 "," 5,233 ", 624.59 ," 6,640.01 "," 1,036 "," 2,946.40 "," 48,849.27 ", 10 , -   , -   , -   ," 4,003.19 "," 60,117.24 "," 6,279 "
5860,Empire District Electric Co,KS,2012,1," 1,205.28 "," 11,436.50 "," 8,469 ", 575.23 ," 5,037.62 "," 1,359 ", 481.01 ," 6,040.42 ", 49 , -   , -   , -   ," 2,261.51 "," 22,514.54 "," 9,877 "
9996,City of Kansas City - (KS),KS,2012,1," 4,944.00 "," 48,826.00 "," 56,237 "," 7,671.00 "," 86,673.00 "," 6,930 "," 3,328.00 "," 47,165.00 ", 94 , -   , -   , -   ," 15,943.00 "," 182,664.00 "," 63,261 "
10000,Kansas City Power & Light Co,KS,2012,1," 23,132.15 "," 236,644.57 "," 213,266 "," 21,134.36 "," 252,616.91 "," 26,906 "," 1,543.71 "," 25,543.77 ", 976 , -   , -   , -   ," 45,810.21 "," 514,805.25 "," 241,148 "
10005,Kansas Gas & Electric Co,KS,2012,1," 25,036.70 "," 264,943.52 "," 279,132 "," 17,653.83 "," 227,100.42 "," 35,557 "," 17,002.20 "," 282,860.32 "," 3,595 ", -   , -   , -   ," 59,692.73 "," 774,904.25 "," 318,284 "
12524,Midwest Energy Inc,KS,2012,1," 3,054.68 "," 28,975.06 "," 29,859 "," 3,718.69 "," 38,246.35 "," 12,829 "," 4,262.53 "," 53,684.77 "," 6,503 ", -   , -   , -   ," 11,035.91 "," 120,906.19 "," 49,191 "
22500,Westar Energy Inc,KS,2012,1," 27,745.68 "," 293,339.88 "," 320,371 "," 26,277.45 "," 338,316.30 "," 48,004 "," 11,703.87 "," 177,563.58 "," 1,262 ", -   , -   , -   ," 65,727.00 "," 809,219.76 "," 369,637 "
88888,Total EPM,KS,2012,1," 120,144.00 "," 1,173,891.00 "," 1,213,169 "," 102,904.00 "," 1,177,480.00 "," 222,313 "," 61,847.00 "," 905,772.00 "," 24,861 ", -   , -   , -   ," 284,896.00 "," 3,257,143.00 "," 1,460,343 "
0,Adjustment 2012,KY,2012,1," 86,231.69 "," 870,244.73 "," 698,320 "," 31,450.46 "," 329,905.85 "," 81,197 "," 31,465.30 "," 475,551.53 "," 1,674 ", -   , -   , -   ," 149,147.45 "," 1,675,702.11 "," 781,191 "
5748,Electric Energy Inc,KY,2012,1, -   , -   , -   , -   , -   , -   , 78.00 ," 2,040.00 ", 1 , -   , -   , -   , 78.00 ," 2,040.00 ", 1 
9964,Kenergy Corp,KY,2012,1," 5,672.00 "," 73,616.00 "," 45,302 "," 2,060.00 "," 27,075.00 "," 9,975 "," 33,409.00 "," 715,369.00 ", 36 , -   , -   , -   ," 41,141.00 "," 816,060.00 "," 55,313 "
10171,Kentucky Utilities Co,KY,2012,1," 52,220.00 "," 687,242.00 "," 419,657 "," 33,380.00 "," 450,213.00 "," 86,927 "," 30,416.00 "," 553,962.00 "," 2,422 ", -   , -   , -   ," 116,016.00 "," 1,691,417.00 "," 509,006 "
11249,Louisville Gas & Electric Co,KY,2012,1," 31,647.00 "," 356,752.00 "," 347,658 "," 30,891.00 "," 393,781.00 "," 45,833 "," 11,107.00 "," 183,916.00 ", 401 , -   , -   , -   ," 73,645.00 "," 934,449.00 "," 393,892 "
14724,Pennyrile Rural Electric Coop,KY,2012,1," 5,925.00 "," 56,114.00 "," 37,660 "," 2,301.00 "," 19,363.00 "," 9,341 "," 1,965.00 "," 25,660.00 ", 37 , -   , -   , -   ," 10,191.00 "," 101,137.00 "," 47,038 "
17564,South Kentucky Rural E C C,KY,2012,1," 9,004.64 "," 87,572.34 "," 60,409 ", 869.37 ," 7,159.97 "," 5,015 "," 2,401.83 "," 27,446.25 ", 551 , -   , -   , -   ," 12,275.84 "," 122,178.57 "," 65,975 "
18642,Tennessee Valley Authority,KY,2012,1, -   , -   , -   , -   , -   , -   ," 68,765.00 "," 1,500,852.00 ", 16 , -   , -   , -   ," 68,765.00 "," 1,500,852.00 ", 16 
19446,Duke Energy Kentucky,KY,2012,1," 11,569.02 "," 137,914.00 "," 121,279 "," 11,348.01 "," 145,412.53 "," 14,890 "," 4,184.48 "," 61,736.54 ", 376 , -   , -   , -   ," 27,101.51 "," 345,063.06 "," 136,545 "
20130,Warren Rural Elec Coop Corp,KY,2012,1," 8,142.00 "," 81,265.00 "," 49,914 "," 3,010.00 "," 27,209.00 "," 10,371 "," 3,658.00 "," 47,095.00 ", 48 , -   , -   , -   ," 14,810.00 "," 155,569.00 "," 60,333 "
22053,Kentucky Power Co,KY,2012,1," 25,557.09 "," 275,185.78 "," 141,565 "," 11,435.40 "," 119,762.99 "," 30,434 "," 16,155.71 "," 269,268.55 "," 1,380 ", -   , -   , -   ," 53,148.21 "," 664,217.32 "," 173,379 "
49998,City of Berea Municipal Utility,KY,2012,1, 511.53 ," 7,140.93 "," 4,395 ", 179.90 ," 2,482.78 ", 656 , 220.74 ," 3,457.32 ", 52 , -   , -   , -   , 912.17 ," 13,081.03 "," 5,103 "
88888,Total EPM,KY,2012,1," 236,480.00 "," 2,633,047.00 "," 1,926,159 "," 126,925.00 "," 1,522,365.00 "," 294,639 "," 203,826.00 "," 3,866,354.00 "," 6,994 ", -   , -   , -   ," 567,231.00 "," 8,021,766.00 "," 2,227,792 "
0,Adjustment 2012,LA,2012,1," 54,309.85 "," 691,433.78 "," 493,090 "," 24,417.43 "," 308,426.94 "," 62,719 "," 6,989.59 "," 103,760.51 "," 3,056 ", 0.00 , (0.07), -   ," 85,716.88 "," 1,103,621.15 "," 558,865 "
3265,Cleco Power LLC,LA,2012,1," 30,168.00 "," 287,755.00 "," 236,829 "," 22,154.00 "," 198,937.00 "," 40,145 "," 13,774.00 "," 189,797.00 ", 603 , -   , -   , -   ," 66,096.00 "," 676,489.00 "," 277,577 "
11241,Entergy Louisiana Inc,LA,2012,1," 53,886.94 "," 723,440.69 "," 581,739 "," 39,852.86 "," 506,012.29 "," 82,077 "," 61,509.18 "," 1,396,256.36 "," 6,880 ", -   , -   , -   ," 155,248.98 "," 2,625,709.33 "," 670,696 "
13478,Entergy New Orleans Inc,LA,2012,1," 13,105.50 "," 146,026.93 "," 143,532 "," 16,382.56 "," 211,223.00 "," 15,799 "," 2,252.17 "," 37,679.44 "," 2,272 ", 76.25 , 930.45 , 1 ," 31,816.48 "," 395,859.82 "," 161,604 "
17698,Southwestern Electric Power Co,LA,2012,1," 19,872.00 "," 255,522.00 "," 199,555 "," 13,266.00 "," 173,993.00 "," 24,807 "," 5,240.00 "," 84,324.00 "," 2,037 ", -   , -   , -   ," 38,378.00 "," 513,839.00 "," 226,399 "
55936,Entergy Gulf States - LA LLC,LA,2012,1," 33,120.67 "," 403,715.80 "," 329,160 "," 31,346.74 "," 425,793.49 "," 52,037 "," 35,230.64 "," 718,354.91 "," 3,242 ", -   , -   , -   ," 99,698.05 "," 1,547,864.20 "," 384,439 "
88888,Total EPM,LA,2012,1," 204,463.00 "," 2,507,894.00 "," 1,983,905 "," 147,420.00 "," 1,824,386.00 "," 277,584 "," 124,996.00 "," 2,530,172.00 "," 18,090 ", 76.00 , 930.00 , 1 ," 476,954.00 "," 6,863,383.00 "," 2,279,580 "
0,Adjustment 2012,MA,2012,1," 65,461.14 "," 460,805.07 "," 605,244 "," 128,379.26 "," 973,546.00 "," 136,008 "," 146,821.50 "," 1,201,983.21 "," 12,219 "," 1,676.59 "," 32,486.87 ", 2 ," 342,338.48 "," 2,668,821.15 "," 753,473 "
6374,Fitchburg Gas & Elec Light Co,MA,2012,1," 3,334.47 "," 16,909.30 "," 24,642 "," 1,120.36 "," 5,527.26 "," 3,504 ", 31.18 , 128.28 , 3 , -   , -   , -   ," 4,486.01 "," 22,564.84 "," 28,149 "
8774,City of Holyoke - (MA),MA,2012,1," 1,187.00 "," 9,885.00 "," 14,509 "," 1,858.00 "," 16,153.00 "," 2,719 ", 441.00 ," 4,542.00 ", 59 , -   , -   , -   ," 3,486.00 "," 30,580.00 "," 17,287 "
11804,Massachusetts Electric Co,MA,2012,1," 108,997.34 "," 746,193.95 "," 1,036,270 "," 37,976.70 "," 264,269.85 "," 116,778 "," 5,247.33 "," 36,973.03 "," 2,828 ", -   , -   , -   ," 152,221.37 "," 1,047,436.83 "," 1,155,876 "
13206,Nantucket Electric Co,MA,2012,1, 975.37 ," 6,741.36 "," 11,246 ", 390.72 ," 2,599.21 "," 1,351 ", 0.17 , 0.94 , 3 , -   , -   , -   ," 1,366.25 "," 9,341.50 "," 12,600 "
15748,Town of Reading - (MA),MA,2012,1," 2,986.00 "," 22,442.00 "," 25,687 ", 294.00 ," 2,488.00 ", 547 ," 3,545.00 "," 31,431.00 "," 2,845 ", -   , -   , -   ," 6,825.00 "," 56,361.00 "," 29,079 "
20455,Western Massachusetts Elec Co,MA,2012,1," 20,325.59 "," 135,349.40 "," 177,172 "," 5,110.31 "," 35,879.01 "," 17,891 "," 1,147.92 "," 8,776.69 ", 693 , -   , -   , -   ," 26,583.82 "," 180,005.09 "," 195,756 "
54913,NSTAR Electric Company,MA,2012,1," 84,522.00 "," 507,865.00 "," 794,649 "," 29,287.00 "," 194,619.00 "," 109,195 "," 12,943.00 "," 97,680.00 "," 2,378 ", -   , -   , -   ," 126,752.00 "," 800,164.00 "," 906,222 "
88888,Total EPM,MA,2012,1," 287,789.00 "," 1,906,191.00 "," 2,689,419 "," 204,416.00 "," 1,495,081.00 "," 387,993 "," 170,177.00 "," 1,381,515.00 "," 21,028 "," 1,677.00 "," 32,487.00 ", 2 ," 664,059.00 "," 4,815,274.00 "," 3,098,442 "
0,Adjustment 2012,MD,2012,1," 99,171.35 "," 768,064.09 "," 611,051 "," 207,679.88 "," 2,000,650.45 "," 115,135 "," 29,487.29 "," 360,021.14 "," 3,905 "," 3,319.28 "," 47,601.70 ", 5 ," 339,657.79 "," 3,176,337.37 "," 730,096 "
84,A & N Electric Coop,MD,2012,1, 23.23 , 190.24 , 275 , 5.41 , 40.90 , 48 , -   , -   , -   , -   , -   , -   , 28.64 , 231.14 , 323 
1167,Baltimore Gas & Electric Co,MD,2012,1," 119,243.00 "," 918,909.00 "," 854,160 "," 32,370.00 "," 255,427.00 "," 68,096 "," 1,377.00 "," 12,916.00 "," 3,053 ", -   , -   , -   ," 152,990.00 "," 1,187,252.00 "," 925,309 "
5027,Delmarva Power,MD,2012,1," 23,889.76 "," 191,437.59 "," 155,984 "," 4,756.78 "," 42,419.61 "," 16,843 ", 121.58 ," 1,655.82 ", 120 , -   , -   , -   ," 28,768.12 "," 235,513.02 "," 172,947 "
15263,The Potomac Edison Company,MD,2012,1," 31,547.89 "," 310,312.02 "," 206,339 "," 6,435.88 "," 58,986.76 "," 19,137 "," 1,514.42 "," 19,668.09 "," 1,734 ", -   , -   , -   ," 39,498.19 "," 388,966.87 "," 227,210 "
15270,Potomac Electric Power Co,MD,2012,1," 56,211.63 "," 455,472.81 "," 385,053 "," 15,358.79 "," 141,996.01 "," 27,305 ", 180.68 ," 2,589.48 ", 4 , -   , -   , -   ," 71,751.10 "," 600,058.29 "," 412,362 "
88888,Total EPM,MD,2012,1," 330,087.00 "," 2,644,386.00 "," 2,212,862 "," 266,607.00 "," 2,499,521.00 "," 246,564 "," 32,681.00 "," 396,851.00 "," 8,816 "," 3,319.00 "," 47,602.00 ", 5 ," 632,694.00 "," 5,588,359.00 "," 2,468,247 "
0,Adjustment 2012,ME,2012,1," 64,579.09 "," 430,033.06 "," 700,481 "," 43,056.68 "," 338,637.98 "," 88,272 "," 20,291.62 "," 245,818.25 "," 2,764 ", -   , -   , -   ," 127,927.39 "," 1,014,489.30 "," 791,517 "
3266,Central Maine Power Co,ME,2012,1, 4.10 , 26.31 , 32 , 2.95 , 22.96 , 6 , -   , -   , -   , -   , -   , -   , 7.05 , 49.27 , 38 
11477,Town of Madison - (ME),ME,2012,1, 193.60 ," 1,352.86 "," 2,225 ", 50.05 , 322.37 , 279 , 61.42 , 439.32 , 16 , -   , -   , -   , 305.07 ," 2,114.55 "," 2,520 "
88888,Total EPM,ME,2012,1," 64,777.00 "," 431,412.00 "," 702,738 "," 43,110.00 "," 338,983.00 "," 88,557 "," 20,353.00 "," 246,258.00 "," 2,780 ", -   , -   , -   ," 128,240.00 "," 1,016,653.00 "," 794,075 "
0,Adjustment 2012,MI,2012,1," 41,826.34 "," 345,638.05 "," 422,514 "," 46,561.70 "," 534,941.02 "," 63,020 "," 40,766.04 "," 621,967.45 "," 2,314 ", (0.14), (12.28), -   ," 129,153.93 "," 1,502,534.24 "," 487,848 "
392,Alpena Power Co,MI,2012,1," 1,223.00 "," 8,436.00 "," 13,670 "," 1,054.00 "," 8,693.00 "," 3,926 ", 712.00 ," 12,264.00 ", 3 , -   , -   , -   ," 2,989.00 "," 29,393.00 "," 17,599 "
3828,Cloverland Electric Co-op,MI,2012,1," 3,256.30 "," 29,590.49 "," 36,086 "," 2,940.57 "," 27,943.77 "," 6,108 "," 1,443.64 "," 18,016.55 ", 5 , -   , -   , -   ," 7,640.51 "," 75,550.82 "," 42,199 "
4254,Consumers Energy Co,MI,2012,1," 155,886.00 "," 1,248,007.00 "," 1,585,461 "," 93,599.00 "," 908,197.00 "," 208,339 "," 54,878.00 "," 724,049.00 "," 8,522 ", -   , -   , -   ," 304,363.00 "," 2,880,253.00 "," 1,802,322 "
5107,City of Detroit,MI,2012,1, 22.50 , 276.00 , 187 ," 3,708.20 "," 37,331.00 ", 66 , -   , -   , -   , 54.18 , 731.44 , 1 ," 3,784.88 "," 38,338.44 ", 254 
5109,The DTE Electric Company,MI,2012,1," 221,699.02 "," 1,473,442.27 "," 1,925,594 "," 151,756.17 "," 1,377,704.36 "," 197,272 "," 52,831.95 "," 711,263.44 ", 814 , -   , -   , -   ," 426,287.14 "," 3,562,410.07 "," 2,123,680 "
9324,Indiana Michigan Power Co,MI,2012,1," 10,928.60 "," 127,436.47 "," 109,081 "," 5,860.01 "," 68,129.52 "," 17,748 "," 4,360.90 "," 61,718.47 ", 998 , -   , -   , -   ," 21,149.51 "," 257,284.46 "," 127,827 "
10704,City of Lansing - (MI),MI,2012,1," 6,564.00 "," 54,242.00 "," 83,091 "," 10,383.00 "," 102,241.00 "," 12,716 "," 2,733.00 "," 30,666.00 ", 273 , -   , -   , -   ," 19,680.00 "," 187,149.00 "," 96,080 "
13780,Northern States Power Co,MI,2012,1, 634.31 ," 5,888.27 "," 7,740 ", 496.76 ," 5,333.41 "," 1,317 ", 191.18 ," 2,907.00 ", 2 , -   , -   , -   ," 1,322.24 "," 14,128.68 "," 9,059 "
19578,Upper Peninsula Power Co,MI,2012,1," 5,410.10 "," 27,284.20 "," 46,223 "," 3,445.40 "," 22,981.20 "," 5,714 "," 1,401.10 "," 25,873.70 ", 10 , -   , -   , -   ," 10,256.60 "," 76,139.10 "," 51,947 "
20847,Wisconsin Electric Power Co,MI,2012,1," 2,527.00 "," 16,066.00 "," 24,489 "," 1,830.00 "," 13,374.00 "," 3,064 "," 11,948.00 "," 209,927.00 ", 10 , -   , -   , -   ," 16,305.00 "," 239,367.00 "," 27,563 "
